Year,STATE,STATENAME,ST_CASE,VEH_NO,DRDISTRACT,DRDISTRACTNAME
2016,4,Arizona,40090,1,96,Not Reported
2016,4,Arizona,40091,1,99,Unknown if Distracted
2016,4,Arizona,40091,2,99,Unknown if Distracted
2016,4,Arizona,40092,1,6,While Manipulating Cellular Phone
2016,4,Arizona,40093,1,99,Unknown if Distracted
2016,4,Arizona,40093,2,99,Unknown if Distracted
2016,4,Arizona,40094,1,0,Not Distracted
2016,4,Arizona,40094,2,0,Not Distracted
2016,4,Arizona,40094,3,0,Not Distracted
2016,4,Arizona,40095,1,99,Unknown if Distracted
2016,4,Arizona,40095,2,0,Not Distracted
2016,4,Arizona,40096,1,99,Unknown if Distracted
2016,4,Arizona,40097,1,99,Unknown if Distracted
2016,4,Arizona,40098,1,0,Not Distracted
2016,4,Arizona,40098,2,0,Not Distracted
2016,4,Arizona,40099,1,0,Not Distracted
2016,4,Arizona,40100,1,99,Unknown if Distracted
2016,4,Arizona,40100,2,99,Unknown if Distracted
2016,4,Arizona,40101,1,99,Unknown if Distracted
2016,4,Arizona,40101,2,99,Unknown if Distracted
2016,4,Arizona,40102,1,99,Unknown if Distracted
2016,4,Arizona,40103,1,99,Unknown if Distracted
2016,4,Arizona,40104,1,99,Unknown if Distracted
2016,4,Arizona,40105,1,99,Unknown if Distracted
2016,4,Arizona,40105,2,0,Not Distracted
2016,4,Arizona,40106,1,99,Unknown if Distracted
2016,4,Arizona,40107,1,0,Not Distracted
2016,4,Arizona,40107,2,0,Not Distracted
2016,4,Arizona,40108,1,0,Not Distracted
2016,4,Arizona,40109,1,99,Unknown if Distracted
2016,4,Arizona,40109,2,0,Not Distracted
2016,4,Arizona,40110,1,0,Not Distracted
2016,4,Arizona,40111,1,99,Unknown if Distracted
2016,4,Arizona,40111,2,99,Unknown if Distracted
2016,4,Arizona,40112,1,0,Not Distracted
2016,4,Arizona,40112,2,0,Not Distracted
2016,4,Arizona,40113,1,99,Unknown if Distracted
2016,4,Arizona,40114,1,0,Not Distracted
2016,4,Arizona,40115,1,0,Not Distracted
2016,4,Arizona,40115,2,0,Not Distracted
2016,4,Arizona,40116,1,99,Unknown if Distracted
2016,4,Arizona,40117,1,99,Unknown if Distracted
2016,4,Arizona,40118,1,99,Unknown if Distracted
2016,4,Arizona,40119,1,99,Unknown if Distracted
2016,4,Arizona,40120,1,99,Unknown if Distracted
2016,4,Arizona,40121,1,99,Unknown if Distracted
2016,4,Arizona,40122,1,99,Unknown if Distracted
2016,4,Arizona,40123,1,99,Unknown if Distracted
2016,4,Arizona,40124,1,99,Unknown if Distracted
2016,4,Arizona,40124,2,0,Not Distracted
2016,4,Arizona,40125,1,99,Unknown if Distracted
2016,4,Arizona,40125,2,99,Unknown if Distracted
2016,4,Arizona,40126,1,99,Unknown if Distracted
2016,4,Arizona,40127,1,99,Unknown if Distracted
2016,4,Arizona,40128,1,6,While Manipulating Cellular Phone
2016,4,Arizona,40129,1,17,Distraction/Inattention
2016,4,Arizona,40129,2,0,Not Distracted
2016,4,Arizona,40129,3,0,Not Distracted
2016,4,Arizona,40129,4,98,Other Distraction
2016,4,Arizona,40130,1,99,Unknown if Distracted
2016,4,Arizona,40131,1,96,Not Reported
2016,4,Arizona,40132,1,99,Unknown if Distracted
2016,4,Arizona,40133,1,99,Unknown if Distracted
2016,4,Arizona,40135,1,99,Unknown if Distracted
2016,4,Arizona,40135,2,99,Unknown if Distracted
2016,4,Arizona,40136,1,99,Unknown if Distracted
2016,4,Arizona,40137,1,1,Looked But Did Not See
2016,4,Arizona,40138,1,99,Unknown if Distracted
2016,4,Arizona,40138,2,0,Not Distracted
2016,4,Arizona,40139,1,0,Not Distracted
2016,4,Arizona,40139,2,0,Not Distracted
2016,4,Arizona,40140,1,99,Unknown if Distracted
2016,4,Arizona,40141,1,0,Not Distracted
2016,4,Arizona,40142,1,0,Not Distracted
2016,4,Arizona,40143,1,0,Not Distracted
2016,4,Arizona,40144,1,99,Unknown if Distracted
2016,4,Arizona,40145,1,99,Unknown if Distracted
2016,4,Arizona,40145,2,99,Unknown if Distracted
2016,4,Arizona,40146,1,15,Other Cellular Phone Related
2016,4,Arizona,40146,1,3,By Other Occupant(s)
2016,4,Arizona,40147,1,0,Not Distracted
2016,4,Arizona,40147,2,0,Not Distracted
2016,4,Arizona,40149,1,0,Not Distracted
2016,4,Arizona,40149,2,0,Not Distracted
2016,4,Arizona,40150,1,0,Not Distracted
2016,4,Arizona,40151,1,99,Unknown if Distracted
2016,4,Arizona,40152,1,0,Not Distracted
2016,4,Arizona,40153,1,99,Unknown if Distracted
2016,4,Arizona,40154,1,99,Unknown if Distracted
2016,4,Arizona,40154,2,99,Unknown if Distracted
2016,4,Arizona,40155,1,99,Unknown if Distracted
2016,4,Arizona,40155,2,1,Looked But Did Not See
2016,4,Arizona,40156,1,0,Not Distracted
2016,4,Arizona,40157,1,0,Not Distracted
2016,4,Arizona,40157,2,0,Not Distracted
2016,4,Arizona,40157,3,0,Not Distracted
2016,4,Arizona,40157,4,0,Not Distracted
2016,4,Arizona,40158,1,93,"""Inattention (Inattentive)"
2016,4,Arizona,40159,1,99,Unknown if Distracted
2016,4,Arizona,40159,2,99,Unknown if Distracted
2016,4,Arizona,40160,1,99,Unknown if Distracted
2016,4,Arizona,40161,1,99,Unknown if Distracted
2016,4,Arizona,40162,1,99,Unknown if Distracted
2016,4,Arizona,40163,1,0,Not Distracted
2016,4,Arizona,40164,1,0,Not Distracted
2016,4,Arizona,40164,2,0,Not Distracted
2016,4,Arizona,40165,1,0,Not Distracted
2016,4,Arizona,40166,1,99,Unknown if Distracted
2016,4,Arizona,40166,2,0,Not Distracted
2016,4,Arizona,40167,1,0,Not Distracted
2016,4,Arizona,40168,1,6,While Manipulating Cellular Phone
2016,4,Arizona,40168,2,99,Unknown if Distracted
2016,4,Arizona,40169,1,0,Not Distracted
2016,4,Arizona,40169,2,0,Not Distracted
2016,4,Arizona,40170,1,96,Not Reported
2016,4,Arizona,40170,2,96,Not Reported
2016,4,Arizona,40171,1,99,Unknown if Distracted
2016,4,Arizona,40172,1,0,Not Distracted
2016,4,Arizona,40172,2,0,Not Distracted
2016,4,Arizona,40172,3,0,Not Distracted
2016,4,Arizona,40172,4,0,Not Distracted
2016,4,Arizona,40173,1,0,Not Distracted
2016,4,Arizona,40174,1,1,Looked But Did Not See
2016,4,Arizona,40175,1,99,Unknown if Distracted
2016,4,Arizona,40176,1,99,Unknown if Distracted
2016,4,Arizona,40176,2,0,Not Distracted
2016,4,Arizona,40177,1,99,Unknown if Distracted
2016,4,Arizona,40178,1,99,Unknown if Distracted
2016,4,Arizona,40178,2,99,Unknown if Distracted
2016,4,Arizona,40179,1,0,Not Distracted
2016,4,Arizona,40179,2,99,Unknown if Distracted
2016,4,Arizona,40180,1,99,Unknown if Distracted
2016,4,Arizona,40181,1,0,Not Distracted
